Comment,Designator,Footprint,LCSC,Quantity
10u,L2,L_1206_3216Metric,C1046,1
RJ45_Hanrun_HR911105A_Horizontal,J5,RJ45_Hanrun_HR911105A_Horizontal,C12074,1
8M,Y1,Crystal_SMD_HC49-SD,C12674,1
25M,Y2,Crystal_SMD_HC49-SD,C14872,1
POWER,J1,JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,C158012,1
20p,"C10,C11,C16,C17",C_0603_1608Metric,C1648,4
10K,"R4,R6",R_0805_2012Metric,C17414,2
1K,R5,R_0805_2012Metric,C17513,1
2.7k,R9,R_0805_2012Metric,C17530,1
220,"R1,R2,R3,R7,R8",R_0805_2012Metric,C17557,5
49.9,"R10,R11,R12,R13",R_0805_2012Metric,C17720,4
10u,"C14,C15",C_0603_1608Metric,C19702,2
SS22-SMA,D1,D_SMA,C2891712,1
NRST,"S1,S2",SW_TS-1187A-B-A-B,C318884,2
22u,C13,C_0805_2012Metric,C45783,1
ENC28J60x-SO,U3,SOIC-28W_7.5x17.9mm_P1.27mm,C47351,1
100n,"C12,C18,C19,C2,C4,C5,C6,C7,C8,C9",C_0805_2012Metric,C49678,10
LM2596S-3.3,U1,TO-263-5_TabPin3,C5189812,1
33u,L1,L_7.3x7.3_H4.5,C5339524,1
470u,"C1,C3",CP_Elec_8x10,C7471889,2
STM32F103C8Tx,U2,LQFP-48_7x7mm_P0.5mm,C8734,1
